,PC1,PC2,PC3,vaccine,words,tsne1,tsne2,tsne3,cluster,aa
3448,-0.465705051,-0.156913724,-0.027890665,No,depopulationagenda,-16.152914,-16.40064,-11.151344,0,2
4261,-0.465533164,0.329186467,0.590657186,No,ethealthworld,12.522186,-16.33026,-14.829026,2,2
11094,-0.465040528,0.070063969,0.077057512,No,standards,-1.5206187,-23.803122,-15.879592,0,2
1052,-0.464394853,-0.044409404,0.490487812,No,analysis,3.5794556,-26.302582,-1.6118428,2,2
1699,-0.464038565,-0.087995077,-0.028584317,No,betrayal,-18.609402,-16.249012,-11.475718,0,2
175,-0.463770377,-0.360908273,0.217443251,Yes,1/9/2020,-1.1273681,-28.35862,-11.0232725,2,2
9301,-0.463384123,-0.307748699,0.106685869,No,produced,-2.6467397,-23.83835,-11.240016,0,2
187,-0.463168831,0.062028508,0.565355209,Yes,10/20/2020,2.1565037,-27.376448,-12.709395,2,2
3492,-0.46283084,-0.197194578,-0.067003964,No,destruction,-18.205402,-16.019407,-13.7064905,0,2
6447,-0.462176832,0.056928659,0.027981371,No,japanese,-3.8876143,-7.521005,-17.377401,0,2
5278,-0.46191218,0.080649502,0.15148654,No,granting,0.47951362,-21.934052,-14.526706,2,2
6204,-0.461796187,0.226279776,-0.108226529,No,inquiry,-4.867336,-3.3861256,-21.908407,0,2
236,-0.461474116,-0.24343383,0.34198857,Yes,8/26/2020,0.68698543,-27.563177,-11.369048,2,2
2457,-0.460752732,0.033476603,0.667376474,No,chinese,5.8829885,-25.700914,-13.631688,2,2
10165,-0.460078453,0.016387973,0.224489542,No,rouhani,-0.556934,-17.787106,-19.978914,2,2
1574,-0.459903263,-0.043444887,0.057525338,No,bayer,-3.3159144,-22.037552,-7.708352,0,2
241,-0.459893359,-0.240447863,0.542376813,Yes,8/31/2020,2.221253,-28.283106,-11.746337,2,2
1426,-0.459596648,-0.030483169,0.043306291,No,australias,-4.2492537,-20.393835,-12.746388,0,2
10080,-0.459586161,0.003204215,0.291021597,No,rigorous,-0.62310493,-24.852152,-17.666746,2,2
11256,-0.45951155,0.01024981,0.119524942,No,strict,-1.619024,-23.865032,-15.806362,0,2
1153,-0.459347134,0.303885444,0.166179838,No,antonio,11.541578,-13.429021,-18.290592,2,2
6294,-0.459197319,0.107264839,0.245508162,No,intl,10.145675,-19.534208,-16.023273,2,2
5326,-0.458705441,-0.080235383,-0.001939469,No,growing,-18.619226,-4.6503534,-19.832853,0,2
12990,-0.457874719,-0.002903183,-0.034756115,No,wto,-3.9502978,-8.064869,-19.217825,0,2
8427,-0.457335679,0.07441605,0.204868004,No,orders,-0.5680367,-16.07011,-21.024479,2,2
10044,-0.456985787,0.133188655,0.179927603,No,review,-2.9261706,-5.5195203,-27.18981,2,2
2757,-0.45679652,-0.252381361,0.23324142,No,companies,2.1379888,-20.173677,-21.245932,2,2
6090,-0.456015307,0.371449639,0.580657628,No,indias,17.462164,-13.176663,-16.340317,2,2
9153,-0.45601415,-0.18494683,-0.052094542,No,premium,-20.790209,-9.077419,-16.550297,0,2
177,-0.455320022,-0.335104986,0.319741444,Yes,10/10/2020,0.4247315,-27.436775,-10.485663,2,2
11598,-0.454820978,-0.216616686,0.07385019,No,technology,-4.201578,-26.676497,-11.054503,0,2
3177,-0.4546596,0.011056877,0.177437156,No,curevac,-2.944433,-22.183607,-7.9140763,2,2
12024,-0.454419472,-0.076154886,7.24E-05,No,trends,-15.574024,-17.521196,-16.08367,0,2
9292,-0.454204934,-0.123072494,0.163241588,No,processes,-1.1287254,-25.42054,-16.646534,0,2
